City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
581,Lompoc,US,83.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
582,Fomboni,KM,75.61,clear sky,-12.28,43.7425,Auberge les abou
585,Bonthe,SL,76.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
588,Cururupu,BR,75.67,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
589,Omboue,GA,75.76,overcast clouds,-1.5746,9.2618,Hotel Olako
590,Daru,PG,82.02,few clouds,-9.0763,143.2092,Daru Lodge
593,Irbil,IQ,75.02,clear sky,36.1926,44.0106,Erbil International Hotel
598,Bida,NG,79.09,overcast clouds,9.0833,6.0167,Royal Suite
599,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
600,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
602,Gunjur,GM,78.87,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
605,Pueblo,US,79.56,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
607,Punta Cardon,VE,85.21,clear sky,11.6581,-70.215,Bambuda hotel
613,Hikari,JP,78.78,scattered clouds,33.955,131.95,Hotel Matsubaraya
614,Fare,PF,78.3,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
616,Central Point,US,89.17,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
617,Santa Luzia,BR,83.48,few clouds,-19.7697,-43.8514,Pousada Chao Earth
618,Tessalit,ML,89.35,clear sky,20.1986,1.0114,
622,Mandera,KE,79.0,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
624,Ganzhou,CN,80.65,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
625,Fort Smith,US,87.39,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
626,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
627,Puerto Quijarro,BO,86.81,broken clouds,-17.7833,-57.7667,Hotel palance
628,Sinnamary,GF,80.28,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
629,Meadow Lake,US,76.3,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
631,Kiunga,PG,76.73,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
637,Laguna,US,88.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
638,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
639,Algiers,DZ,78.62,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
640,Pundaguitan,PH,82.04,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
648,Iranshahr,IR,86.34,clear sky,27.2025,60.6848,نیک سرشت
651,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
655,Liuzhou,CN,77.5,clear sky,24.3126,109.3892,Linjiang Inn
658,Bhimunipatnam,IN,79.32,very heavy rain,17.8833,83.4333,Bheemili Court
662,Hue,VN,77.11,few clouds,16.4667,107.6,Saigon Morin Hotel
663,Yazman,PK,84.43,clear sky,29.1212,71.7446,Malik House
665,Sao Desiderio,BR,85.86,overcast clouds,-12.3633,-44.9733,POUSADA BOM SOSSEGO
669,Vanimo,PG,78.21,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
671,Buala,SB,82.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
674,Santa Quiteria,BR,87.24,few clouds,-4.3319,-40.1567,Tahen Hotel
678,Linhares,BR,76.42,overcast clouds,-19.3911,-40.0722,Hotel Conceição
679,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
