City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Turukhansk,RU,2022-09-29 16:23:04,65.8167,87.9833,22.75,81,90,4.36
115,Cape Town,ZA,2022-09-29 16:23:05,-33.9258,18.4232,69.12,75,0,12.66
116,Saskylakh,RU,2022-09-29 16:23:06,71.9167,114.0833,20.01,99,95,4.5
117,Iqaluit,CA,2022-09-29 16:23:06,63.7506,-68.5145,29.93,92,100,16.11
118,Bethel,US,2022-09-29 16:20:09,41.3712,-73.414,64.9,64,75,13.8
119,Saint-Augustin,CA,2022-09-29 16:23:08,51.226,-58.6502,56.57,47,5,4.47
120,Tommot,RU,2022-09-29 16:23:08,58.9564,126.2925,29.73,73,100,2.44
121,Ardatov,RU,2022-09-29 16:23:09,55.2421,43.097,54.68,88,54,1.12
122,Zarate,AR,2022-09-29 16:23:10,-34.0981,-59.0286,64.96,24,100,8.08
123,Bontang,ID,2022-09-29 16:23:11,0.1333,117.5,78.64,84,99,7.61
124,Pisco,PE,2022-09-29 16:23:12,-13.7,-76.2167,63.01,77,20,10.36
125,Codrington,AU,2022-09-29 16:23:14,-38.2667,141.9667,45.21,94,51,4.03
126,Alice Springs,AU,2022-09-29 16:23:14,-23.7,133.8833,59.22,33,33,5.75
127,Sao Joao Da Barra,BR,2022-09-29 16:23:15,-21.6403,-41.0511,73.49,94,100,13.87
128,Griffith,US,2022-09-29 16:21:40,41.5284,-87.4237,60.06,65,40,3.44
129,Lagos,NG,2022-09-29 16:19:57,6.5833,3.75,80.71,77,100,7.54
130,Hervey Bay,AU,2022-09-29 16:23:17,-25.2986,152.8535,56.01,81,0,10.78
131,Namatanai,PG,2022-09-29 16:23:17,-3.6667,152.4333,78.06,77,72,8.34
132,Talnakh,RU,2022-09-29 16:23:19,69.4865,88.3972,31.21,98,100,2.73
133,Dunedin,NZ,2022-09-29 16:24:20,-45.8742,170.5036,42.8,67,46,1.99
134,Ajdabiya,LY,2022-09-29 16:24:21,30.7554,20.2263,87.93,39,6,10.6
135,Miri,MY,2022-09-29 16:21:11,4.4148,114.0089,78.94,89,40,6.91
136,Saint George,US,2022-09-29 16:24:22,37.1041,-113.5841,78.44,42,0,3.44
137,Kiomboi,TZ,2022-09-29 16:24:23,-4.2667,34.3667,78.48,27,91,8.28
138,Liverpool,GB,2022-09-29 16:21:10,53.4106,-2.9779,64.18,74,40,4.0
139,Lorengau,PG,2022-09-29 16:24:24,-2.0226,147.2712,81.55,76,96,7.38
140,Segovia,ES,2022-09-29 16:24:25,41.1667,-4.0,57.43,57,100,15.75
141,Umm Kaddadah,SD,2022-09-29 16:24:27,13.6017,26.6876,95.7,21,66,4.34
142,Whitehorse,CA,2022-09-29 16:23:56,60.7161,-135.0538,48.97,81,75,21.85
143,Roebourne,AU,2022-09-29 16:24:28,-20.7833,117.1333,71.29,63,0,10.4
144,Kodiak,US,2022-09-29 16:24:28,57.79,-152.4072,49.51,87,100,0.0
145,Buenos Aires,AR,2022-09-29 16:20:02,-34.6132,-58.3772,60.98,42,0,12.66
146,Kushiro,JP,2022-09-29 16:24:29,42.975,144.3747,56.44,84,87,6.73
147,Tasiilaq,GL,2022-09-29 16:24:30,65.6145,-37.6368,33.96,90,91,5.95
148,Pocone,BR,2022-09-29 16:24:30,-16.2567,-56.6228,81.09,67,100,4.41
149,Mehamn,NO,2022-09-29 16:24:31,71.0357,27.8492,44.55,70,0,13.8
150,Nanton,CA,2022-09-29 16:24:32,50.3501,-113.7687,68.81,34,100,9.95
151,Carnarvon,AU,2022-09-29 16:24:32,-24.8667,113.6333,68.31,67,6,15.3
152,Abdanan,IR,2022-09-29 16:24:33,32.9926,47.4198,81.0,12,0,4.32
153,Hobyo,SO,2022-09-29 16:24:34,5.3505,48.5268,77.4,83,32,22.06
154,Mount Gambier,AU,2022-09-29 16:24:34,-37.8333,140.7667,44.51,100,75,3.44
155,Puerto Baquerizo Moreno,EC,2022-09-29 16:24:35,-0.9,-89.6,70.79,73,40,11.5
156,Rochegda,RU,2022-09-29 16:24:36,62.8,43.25,33.6,96,100,11.14
157,Ambon,ID,2022-09-29 16:24:36,-3.6954,128.1814,77.14,88,40,3.44
158,El Dorado,US,2022-09-29 16:21:38,38.7666,-120.5177,75.78,35,53,2.44
159,Taltal,CL,2022-09-29 16:24:39,-25.4,-70.4833,61.32,64,3,7.31
160,Portland,US,2022-09-29 16:20:08,45.5234,-122.6762,62.1,92,100,5.99
161,Hilo,US,2022-09-29 16:22:43,19.7297,-155.09,72.63,89,100,9.22
162,Muli,MV,2022-09-29 16:24:41,2.9167,73.5667,82.08,74,97,19.98
163,Kaeo,NZ,2022-09-29 16:24:42,-35.1,173.7833,62.33,97,100,10.25
164,Yeppoon,AU,2022-09-29 16:24:43,-23.1333,150.7333,55.18,81,0,5.39
165,Kouvola,FI,2022-09-29 16:24:43,60.8667,26.7,44.92,99,75,9.22
166,Hortolandia,BR,2022-09-29 16:20:51,-22.8583,-47.22,68.88,68,75,21.85
167,Bayir,TR,2022-09-29 16:24:44,37.2687,28.2167,75.72,57,12,6.2
168,La Asuncion,VE,2022-09-29 16:24:46,11.0333,-63.8628,85.73,79,100,6.91
169,Los Llanos De Aridane,ES,2022-09-29 16:24:47,28.6585,-17.9182,71.35,96,75,11.5
170,Victoria,HK,2022-09-29 16:21:41,22.2855,114.1577,84.38,81,93,11.01
171,Odweyne,SO,2022-09-29 16:24:48,9.4092,45.064,71.33,70,100,12.28
172,Mahebourg,MU,2022-09-29 16:24:49,-20.4081,57.7,70.09,73,20,8.05
173,Dingle,PH,2022-09-29 16:24:50,10.9995,122.6711,75.9,88,100,1.7
174,Lakes Entrance,AU,2022-09-29 16:24:50,-37.8811,147.981,52.7,90,94,9.84
175,Knysna,ZA,2022-09-29 16:24:51,-34.0363,23.0471,64.08,84,98,8.01
176,Saldanha,ZA,2022-09-29 16:24:52,-33.0117,17.9442,62.65,83,100,17.31
177,Alta Floresta,BR,2022-09-29 16:24:52,-9.8756,-56.0861,89.42,58,40,5.75
178,Sinnamary,GF,2022-09-29 16:24:53,5.3833,-52.95,86.77,65,14,13.58
179,Severo-Kurilsk,RU,2022-09-29 16:24:54,50.6789,156.125,47.01,77,26,28.3
180,Rawson,AR,2022-09-29 16:25:55,-43.3002,-65.1023,72.81,33,0,28.61
181,San Cristobal,VE,2022-09-29 16:25:56,7.7669,-72.225,80.78,42,89,3.18
182,College,US,2022-09-29 16:22:49,64.8569,-147.8028,50.32,73,75,3.44
183,Norfolk,US,2022-09-29 16:25:58,42.1668,-71.2495,66.88,62,20,8.05
184,Orangeburg,US,2022-09-29 16:25:59,33.4918,-80.8557,64.69,64,100,16.11
185,Antofagasta,CL,2022-09-29 16:25:59,-23.65,-70.4,60.08,63,17,8.61
186,Necochea,AR,2022-09-29 16:26:00,-38.5473,-58.7368,64.26,34,1,9.71
187,Katsuura,JP,2022-09-29 16:26:01,35.1333,140.3,68.02,87,100,15.64
188,Ancud,CL,2022-09-29 16:26:01,-41.8697,-73.8203,63.23,71,100,3.33
189,Port Hardy,CA,2022-09-29 16:26:02,50.6996,-127.4199,53.78,100,100,0.0
190,Alofi,NU,2022-09-29 16:26:02,-19.0595,-169.9187,69.69,78,50,6.91
191,Nemuro,JP,2022-09-29 16:26:03,43.3236,145.575,57.99,71,53,3.6
192,Pangody,RU,2022-09-29 16:26:05,65.85,74.4859,28.27,82,35,6.93
193,Kavaratti,IN,2022-09-29 16:26:05,10.5669,72.642,81.36,75,100,12.66
194,Malanville,BJ,2022-09-29 16:26:06,11.8685,3.3899,90.43,52,15,2.21
195,Meulaboh,ID,2022-09-29 16:26:07,4.1363,96.1285,75.83,87,100,3.89
196,Urumqi,CN,2022-09-29 16:23:45,43.801,87.6005,54.55,72,0,4.47
197,Moron,AR,2022-09-29 16:26:08,-34.6534,-58.6198,64.94,48,100,8.79
198,Southbridge,US,2022-09-29 16:26:09,42.0751,-72.0334,64.94,70,0,8.48
199,Okato,NZ,2022-09-29 16:26:10,-39.2,173.8833,60.17,91,81,5.99
200,Ko Samui,TH,2022-09-29 16:26:11,9.5357,99.9357,81.07,80,96,21.03
201,Remanso,BR,2022-09-29 16:26:11,-9.6179,-42.0831,88.12,33,87,7.34
202,Fairbanks,US,2022-09-29 16:26:12,64.8378,-147.7164,50.34,74,40,3.44
203,Aksu,CN,2022-09-29 16:26:13,41.1231,80.2644,70.32,23,40,7.61
204,Domoni,KM,2022-09-29 16:26:13,-12.2569,44.5319,74.61,73,12,4.16
205,Saint-Philippe,RE,2022-09-29 16:26:14,-21.3585,55.7679,69.39,75,2,9.44
206,Ilhabela,BR,2022-09-29 16:26:15,-23.7781,-45.3581,64.53,88,100,5.14
207,Bilibino,RU,2022-09-29 16:26:15,68.0546,166.4372,16.86,81,13,3.18
208,Calabar,NG,2022-09-29 16:26:16,4.9517,8.322,80.19,83,68,5.03
209,Indramayu,ID,2022-09-29 16:26:17,-6.3264,108.32,82.58,71,98,8.72
210,Vallenar,CL,2022-09-29 16:26:19,-28.5708,-70.7581,72.36,34,0,6.69
211,Newport Beach,US,2022-09-29 16:26:19,33.6189,-117.9289,80.15,89,100,3.44
212,Pokrovsk,UA,2022-09-29 16:26:20,48.282,37.1758,67.66,52,94,2.08
213,Ahipara,NZ,2022-09-29 16:26:21,-35.1667,173.1667,61.43,97,100,7.99
