City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
169,New Norfolk,AU,-42.7826,147.0587,47.91,75,69,1.48,broken clouds
170,Ilulissat,GL,69.2167,-51.1,33.82,69,75,6.91,broken clouds
171,Balikpapan,ID,-1.2675,116.8289,76.19,94,20,2.3,few clouds
172,Vao,NC,-22.6667,167.4833,69.19,66,31,14.81,scattered clouds
173,Rach Gia,VN,10.0167,105.0833,79.27,78,100,2.57,overcast clouds
174,Ojinaga,MX,29.5667,-104.4167,90.57,28,0,0.0,clear sky
175,Baykit,RU,61.67,96.37,24.19,91,50,1.21,scattered clouds
176,Nome,US,64.5011,-165.4064,44.67,66,100,13.8,overcast clouds
177,Neftcala,AZ,39.3742,49.2472,71.92,64,7,7.05,clear sky
178,Trincomalee,LK,8.5711,81.2335,79.77,76,80,19.62,light rain
179,Kholodnyy,RU,62.7167,147.95,17.17,90,100,5.06,overcast clouds
180,Moose Factory,CA,51.2585,-80.6094,69.8,46,75,16.11,broken clouds
181,Geraldton,AU,-28.7667,114.6,57.61,54,0,13.8,clear sky
182,Taldan,RU,53.6667,124.8,26.51,61,61,9.06,broken clouds
183,Sierre,CH,46.2919,7.5356,60.35,85,5,2.62,clear sky
184,Huarmey,PE,-10.0681,-78.1522,67.68,73,10,12.15,clear sky
185,Maldonado,UY,-34.6667,-54.9167,56.59,70,6,10.27,clear sky
186,Hobyo,SO,5.3505,48.5268,76.5,86,29,20.31,scattered clouds
187,Kayerkan,RU,69.3497,87.7602,33.53,80,100,20.27,overcast clouds
188,Te Anau,NZ,-45.4167,167.7167,46.06,71,100,7.27,overcast clouds
189,Christchurch,NZ,-43.5333,172.6333,54.32,71,8,17.27,clear sky
190,Xuddur,SO,4.1213,43.8894,72.39,69,33,14.76,scattered clouds
191,Bilma,NE,18.6853,12.9164,92.08,13,0,6.13,clear sky
192,Oussouye,SN,12.485,-16.5469,80.69,84,100,4.47,overcast clouds
193,Badnawar,IN,23.0167,75.2167,73.87,66,78,8.05,broken clouds
194,Ribeira Grande,PT,38.5167,-28.7,70.5,82,100,5.55,overcast clouds
195,Acapulco,MX,16.8634,-99.8901,85.82,62,40,9.22,scattered clouds
196,Peachland,CA,49.7665,-119.7357,76.12,26,96,2.46,overcast clouds
197,Kahului,US,20.8947,-156.47,78.96,90,100,11.5,light rain
198,Port Washington,US,40.8257,-73.6982,53.8,74,100,18.41,heavy intensity rain
199,Arenapolis,BR,-14.4503,-56.8461,84.49,59,78,3.02,broken clouds
200,Mount Isa,AU,-20.7333,139.5,64.17,68,27,0.0,scattered clouds
201,Mnogovershinnyy,RU,53.9353,139.9242,32.76,94,100,6.31,light snow
202,Salalah,OM,17.0151,54.0924,77.09,83,40,2.3,scattered clouds
203,Lasem,ID,-6.6922,111.4527,77.23,88,97,7.49,overcast clouds
204,Kamenka,RU,51.3223,42.7678,50.85,71,33,8.97,scattered clouds
205,Leningradskiy,RU,69.3833,178.4167,30.7,93,100,6.93,light snow
206,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,48,0,12.66,clear sky
207,Muros,ES,42.7762,-9.0603,61.09,90,0,1.1,clear sky
208,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,2.3,broken clouds
209,Miles City,US,46.4083,-105.8406,56.37,94,100,5.75,light rain
210,Calama,CL,-22.4667,-68.9333,73.89,3,0,24.16,clear sky
211,Campbell River,CA,50.0163,-125.2446,71.98,49,20,4.61,smoke
212,Yulara,AU,-25.2406,130.9889,59.43,76,47,7.85,scattered clouds
213,Cherskiy,RU,68.75,161.3,25.18,81,100,6.17,overcast clouds
214,Noyabrsk,RU,63.1994,75.4507,39.72,94,100,19.35,light rain
215,Villaviciosa,ES,43.4813,-5.4357,68.41,94,63,2.89,broken clouds
216,Flinders,AU,-34.5833,150.8552,55.38,87,91,2.53,overcast clouds
217,Hambantota,LK,6.1241,81.1185,79.0,78,91,18.54,overcast clouds
218,Coahuayana,MX,18.7333,-103.6833,80.49,86,99,4.23,overcast clouds
219,Talnakh,RU,69.4865,88.3972,34.21,87,100,21.59,overcast clouds
220,Atar,MR,20.5169,-13.0499,92.08,33,64,4.07,broken clouds
221,Yar-Sale,RU,66.8333,70.8333,38.61,90,100,13.56,overcast clouds
222,Kempsey,AU,-31.0833,152.8333,57.94,83,8,1.99,clear sky
223,Lebu,CL,-37.6167,-73.65,52.57,90,100,11.07,overcast clouds
224,Dunedin,NZ,-45.8742,170.5036,47.17,54,98,2.93,overcast clouds
225,Ixtapa,MX,20.7,-105.2,87.03,58,100,6.91,overcast clouds
226,Saint-Francois,FR,46.4154,3.9054,48.67,100,15,2.3,fog
227,Ornskoldsvik,SE,63.2909,18.7153,43.75,93,9,8.05,clear sky
228,Satipo,PE,-11.2522,-74.6386,83.91,53,81,1.52,broken clouds
229,Lagoa,PT,39.05,-27.9833,69.51,78,100,5.99,overcast clouds
230,Saint George,US,37.1041,-113.5841,85.42,29,0,11.5,clear sky
